name,medal_type,medal_date,gender,birth_date,country,discipline,event
EVENEPOEL Remco,OURO,2024-07-27,MASCULINO,2000-01-25,Belgium,Cycling Road,Men's Individual Time Trial
GANNA Filippo,PRATA,2024-07-27,MASCULINO,1996-07-25,Italy,Cycling Road,Men's Individual Time Trial
van AERT Wout,BRONZE,2024-07-27,MASCULINO,1994-09-15,Belgium,Cycling Road,Men's Individual Time Trial
BROWN Grace,OURO,2024-07-27,FEMININO,1992-07-07,Australia,Cycling Road,Women's Individual Time Trial
HENDERSON Anna,PRATA,2024-07-27,FEMININO,1998-11-14,Great Britain,Cycling Road,Women's Individual Time Trial
DYGERT Chloe,BRONZE,2024-07-27,FEMININO,1997-01-01,United States,Cycling Road,Women's Individual Time Trial
OH Sanguk,OURO,2024-07-27,MASCULINO,1996-09-30,Korea,Fencing,Men's Sabre Individual
FERJANI Fares,PRATA,2024-07-27,MASCULINO,1997-07-22,Tunisia,Fencing,Men's Sabre Individual
SAMELE Luigi,BRONZE,2024-07-27,MASCULINO,1987-07-25,Italy,Fencing,Men's Sabre Individual
KONG Man Wai Vivian,OURO,2024-07-27,FEMININO,1994-02-08,Hong Kong,Fencing,Women's Epee Individual
MALLO-BRETON Auriane,PRATA,2024-07-27,FEMININO,1993-10-11,France,Fencing,Women's Epee Individual
MUHARI Eszter,BRONZE,2024-07-27,FEMININO,2002-09-30,Hungary,Fencing,Women's Epee Individual
SMETOV Yeldos,OURO,2024-07-27,MASCULINO,1992-09-09,Kazakhstan,Judo,Men -60 kg
MKHEIDZE Luka,PRATA,2024-07-27,MASCULINO,1996-01-05,France,Judo,Men -60 kg
NAGAYAMA Ryuju,BRONZE,2024-07-27,MASCULINO,1996-04-15,Japan,Judo,Men -60 kg
GARRIGOS Francisco,BRONZE,2024-07-27,MASCULINO,1994-12-09,Spain,Judo,Men -60 kg
TSUNODA Natsumi,OURO,2024-07-27,FEMININO,1992-08-06,Japan,Judo,Women -48 kg
BAVUUDORJ Baasankhuu,PRATA,2024-07-27,FEMININO,1999-11-26,Mongolia,Judo,Women -48 kg
BOUKLI Shirine,BRONZE,2024-07-27,FEMININO,1999-01-24,France,Judo,Women -48 kg
BABULFATH Tara,BRONZE,2024-07-27,FEMININO,2006-01-03,Sweden,Judo,Women -48 kg
MAERTENS Lukas,OURO,2024-07-27,MASCULINO,2001-12-27,Germany,Swimming,Men's 400m Freestyle
WINNINGTON Elijah,PRATA,2024-07-27,MASCULINO,2000-05-05,Australia,Swimming,Men's 400m Freestyle
KIM Woomin,BRONZE,2024-07-27,MASCULINO,2001-08-24,Korea,Swimming,Men's 400m Freestyle
TITMUS Ariarne,OURO,2024-07-27,FEMININO,2000-09-07,Australia,Swimming,Women's 400m Freestyle
McINTOSH Summer,PRATA,2024-07-27,FEMININO,2006-08-18,Canada,Swimming,Women's 400m Freestyle
LEDECKY Katie,BRONZE,2024-07-27,FEMININO,1997-03-17,United States,Swimming,Women's 400m Freestyle
FOX Jessica,OURO,2024-07-28,FEMININO,1994-06-11,Australia,Canoe Slalom,Women's Kayak Single
ZWOLINSKA Klaudia,PRATA,2024-07-28,FEMININO,1998-12-18,Poland,Canoe Slalom,Women's Kayak Single
WOODS Kimberley,BRONZE,2024-07-28,FEMININO,1995-09-08,Great Britain,Canoe Slalom,Women's Kayak Single
FERRAND PREVOT Pauline,OURO,2024-07-28,FEMININO,1992-02-10,France,Cycling Mountain Bike,Women's Cross-country
BATTEN Haley,PRATA,2024-07-28,FEMININO,1998-09-19,United States,Cycling Mountain Bike,Women's Cross-country
RISSVEDS Jenny,BRONZE,2024-07-28,FEMININO,1994-06-06,Sweden,Cycling Mountain Bike,Women's Cross-country
KANO Koki,OURO,2024-07-28,MASCULINO,1997-12-19,Japan,Fencing,Men's Epee Individual
BOREL Yannick,PRATA,2024-07-28,MASCULINO,1988-11-05,France,Fencing,Men's Epee Individual
ELSAYED Mohamed,BRONZE,2024-07-28,MASCULINO,2003-03-03,Egypt,Fencing,Men's Epee Individual
KIEFER Lee,OURO,2024-07-28,FEMININO,1994-06-15,United States,Fencing,Women's Foil Individual
SCRUGGS Lauren,PRATA,2024-07-28,FEMININO,2003-01-27,United States,Fencing,Women's Foil Individual
HARVEY Eleanor,BRONZE,2024-07-28,FEMININO,1995-01-14,Canada,Fencing,Women's Foil Individual
ABE Hifumi,OURO,2024-07-28,MASCULINO,1997-08-09,Japan,Judo,Men -66 kg
LIMA Willian,PRATA,2024-07-28,MASCULINO,2000-01-31,Brazil,Judo,Men -66 kg
KYRGYZBAYEV Gusman,BRONZE,2024-07-28,MASCULINO,1992-09-28,Kazakhstan,Judo,Men -66 kg
VIERU Denis,BRONZE,2024-07-28,MASCULINO,1996-03-10,Republic of Moldova,Judo,Men -66 kg
KELDIYOROVA Diyora,OURO,2024-07-28,FEMININO,1998-07-13,Uzbekistan,Judo,Women -52 kg
KRASNIQI Distria,PRATA,2024-07-28,FEMININO,1995-12-10,Kosovo,Judo,Women -52 kg
PIMENTA Larissa,BRONZE,2024-07-28,FEMININO,1999-03-01,Brazil,Judo,Women -52 kg
BUCHARD Amandine,BRONZE,2024-07-28,FEMININO,1995-07-12,France,Judo,Women -52 kg
XIE Yu,OURO,2024-07-28,MASCULINO,2000-06-12,China,Shooting,10m Air Pistol Men
